,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
4719,EyePet,EyePet,PSP,9/20,15.6/20,Sony London Studio,05 Novembre 2010,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-portable-psp/00037735-eyepet.htm," Depuis octobre 2009, EyePet nous permet d'interagir avec une adorable créature virtuelle à l'aide de la caméra Playstation 3. La PSP étant elle aussi dotée d'un semblable accessoire, il n'y avait pas de raison qu'elle n'accueille pas un jour ou l'autre une adaptation portable du soft. Hélas, cette dernière est loin de recréer la magie de la version originale."
4720,EyePet,EyePet,PS3,15/20,14.3/20,Sony London Studio,23 Octobre 2009,Autres,+3 ans,http://www.jeuxvideo.com/jeux/jeu-70274/," Vous avez toujours rêvé d'avoir un animal de compagnie mais vous êtes malheureusement allergique aux poils, aux plumes et aux écailles ? Sony a pensé à vous et vous propose désormais un substitut de bestiole. EyePet est en effet le résultat du mélange improbable entre un Tamagochi et un jeu de la gamme EyeToy."
4721,EyePet & Friends,EyePet,PS3,11/20,13/20,Sony London Studio,16 Novembre 2011,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-3-ps3/00040569-eyepet-friends.htm," Quand on vous parle d'un petit être mignon et poilu, vous pensez immédiatement à votre voisin du dessus pour qui vous avez des sentiments inavouables ? Il n'y a pas de doute, vous avez vraiment perdu votre âme d'enfant. Dans le cas contraire, vous auriez sans doute évoqué votre peluche préférée ou le chaton que vous avez aperçu à l'animalerie. Rien n'est perdu, vous pouvez peut-être encore retrouver le gamin émerveillé qui sommeille en vous en jouant à EyePet avec votre progéniture. Ca tombe bien, le nouvel opus de la licence est justement axé sur le multijoueur."
4722,EyePet Adventures,EyePet Adventures,PSP,10/20,13.7/20,Sony London Studio,09 Novembre 2011,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-portable-psp/00041927-eyepet-adventures.htm," Vraiment sympathique sur Playstation 3, la simulation animalière EyePet s'était avérée plus que décevante sur PSP. Un an plus tard, Sony nous propose une suite axée sur l'aventure et l'exploration. Etait-ce bien nécessaire ?"
4723,EyePet Move Edition,EyePet,PS3,15/20,14.3/20,Sony London Studio,15 Septembre 2010,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-3-ps3/00036024-eyepet-move-edition.htm," Sortie il y a près d'un an sur PS3, la version originale d'EyePet vous permettait déjà d'interagir avec un animal de compagnie virtuel par le biais de la caméra Playstation Eye. Aujourd'hui, le titre nous revient dans une version très légèrement remaniée qui exploite le Playstation Move, la nouvelle manette de reconnaissance de mouvements de la console. Cette nouvelle prise en main ne révolutionne pas du tout le principe de ce jouet interactif mais elle apporte tout de même un supplément de confort non négligeable."
4724,Eyes Attack,Attack-Attack,iOS,12/20,12/20,Marvelous Games,22 Juillet 2013,Autres,+9 ans,http://www.jeuxvideo.com/jeux/iphone-ipod/00049870-eyes-attack.htm," Edité par la filiale mobile de Marvelous, Eyes Attack rejoint l'immense famille des jeux gratuits sur iTunes. Dans le créneau, il n'y a pas de secret : pour se faire une place et exister, il faut obligatoirement un concept simple et accrocheur à même de séduire les joueurs en un clin d'œil. Ca tombe bien, les yeux sont au cœur d'Eyes Attack."
4725,EyeToy : Antigrav,EyeToy: AntiGrav,PS2,13/20,15.1/20,Sony Harmonix,30 Mars 2005,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00012991-eyetoy-antigrav.htm," Et dire que l'on voyait l'EyeToy comme un objet éphémère amené à rejoindre rapidement le panthéon des accessoires inutiles aux côtés de la manette anti-mains moites et du socle pour faire tenir sa console à la verticale. Pourtant, Sony continue à nous abreuver de titres entièrement dédiés à sa petite caméra, nous prouvant finalement qu'il y a du bon à lâcher le pad pour se laisser filmer."
4726,EyeToy : Groove,EyeToy: Groove,PS2,14/20,13.5/20,Sony,14 Novembre 2003,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00011568-eyetoy-groove.htm," Après les sympathiques mini-jeux vendus avec avec l'EyeToy de Sony, on s'attendait à voir débouler d'autres titres profitant de la caméra. Le premier à ouvrir la danse s'appelle Groove et il va justement nous faire remuer les pieds, enfin... les bras devant nos télés."
4727,EyeToy : Kinetic,EyeToy: Kinetic,PS2,14/20,14.7/20,Sony,28 Septembre 2005,Sport Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00013883-eyetoy-kinetic.htm," ""Toutouyoutou, tou toutouyoutou... Véronique... et... Davina."" Un générique aussi culte que celui d'Histoires Naturelles, des animatrices qui ont traumatisé des millions de pectoraux atrophiés, c'était l'époque révolue du sport à la télé non-interactif. Bienvenue dans l'ère moderne, celle où la télé vous dit combien de calories vous avez perdues et combien il vous en reste à brûler. Enfin, la boîte à images peut dicter notre conduite."
4728,EyeToy : Kinetic Combat,EyeToy: Kinetic Combat,PS2,8/20,10.3/20,Sony,08 Novembre 2006,Sport Autres,+12 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00016838-eyetoy-kinetic-combat.htm," Après n'avoir eu pour ambition que de nous faire perdre du poids, voilà que EyeToy Kinetic entreprend de nous enseigner les arts martiaux. A moins bien sûr que nous n'assistions ici qu'à une tentative avortée de surexploitation teintée de vol qualifié."
4729,EyeToy : Monkey Mania,Manic Monkey Mayhem,PS2,8/20,8/20,Sony,23 Mars 2005,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00014130-eyetoy-monkey-mania.htm," Sony continue d'approvisionner son catalogue de jeux dédiés à l'EyeToy. Ce coup-ci, il a demandé à la troupe des singes de Ape Escape de lui fournir un petit coup de main pour trouver de nouvelles activités. Le moins que l'on puisse dire c'est qu'il aurait sûrement mieux fait de laisser les primates en dehors de cette histoire."
4730,EyeToy : Play,EyeToy: Play,PS2,15/20,15.2/20,Sony,09 Juillet 2003,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00011046-eyetoy-play.htm," L'EyeToy s'est baladé dans les cartons de Sony depuis un bail jusqu'à ce qu'on finisse enfin par obtenir une annonce officielle de sa sortie. Dernier accessoire qui manquait à la PS2, cette webcam nous ouvre un nouvel horizon ludique et permettra surtout aux joueurs de faire participer toute leur famille à leur activité favorite, enfin si leur famille tient la grosse patate en tout cas."
4731,EyeToy : Play 2,EyeToy: Play 2,PS2,16/20,16.3/20,Sony,10 Novembre 2004,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00011976-eyetoy-play-2.htm," Les jeux EyeToy se tirent un peu la bourre, et se lancent mutuellement des défis afin de déterminer lequel sera le plus original et le plus riche en contenu. Si EyeToy : Play avait lancé les hostilités en accompagnant la sortie de la caméra, il s'est vu depuis devancé par Sega Superstars. Aujourd'hui, le roi fait son retour et montre à tout le monde qui est le patron."
4732,EyeToy : Play 3,EyeToy: Play 3,PS2,13/20,14.7/20,Sony,09 Novembre 2005,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00014761-eyetoy-play-3.htm," Il y en a qui nous sortent un Prince Of Persia par an, d'autres qui optent pour des réactualisations de Pro Evolution Soccer, chez Sony, on a choisi, c'est EyeToy Play qui revient annuellement. 3 ans, 3 versions et pas des tonnes d'innovations jusqu'à aujourd'hui."
4733,EyeToy : Play Astro Zoo,EyeToy: Play Astro Zoo,PS2,10/20,10/20,Sony,07 Novembre 2007,Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00020084-eyetoy-play-astro-zoo.htm," L'Eye Toy est décidément un accessoire qui n'a jamais le temps de prendre la poussière. Cette fois-ci, Sony met à contribution sa géniale caméra pour nous aider à remettre de l'ordre dans un zoo spatial percuté par une comète."
4734,EyeToy : Play Sports,EyeToy: Play Sports,PS2,14/20,15.4/20,Sony London Studio,08 Novembre 2006,Autres,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00016362-eyetoy-play-sports.htm," Un an. C'est le temps qu'il faut à Sony pour préparer une nouvelle fournée de mini-jeux EyeToy. Si cette dernière livraison ne se concentre que sur un seul et unique domaine, à savoir le sport, c'est aussi celle qui propose le plus d'activités différentes."
4735,EyeToy : U-Move Supersports,U-Move Super Sports,PS2,14/20,15/20,Konami,15 Octobre 2004,Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00013274-eyetoy-u-move-supersports.htm," Konami se lance dans la course à l'EyeToy, lui aussi a quelques idées pour flatter notre fibre narcissique tout en exploitant la caméra-jouet de Sony. U-Move Super Sports est là pour nous le prouver."
4736,F-14 Tomcat,F-14 Tomcat,GBA,14/20,15/20,THQ,27 Mars 2002,Action Simulation,+3 ans,http://www.jeuxvideo.com/jeux/gameboy-advance-gba/00008734-f-14-tomcat.htm," Si vous avez vu Top-Gun 467 fois et que pour vous avion rime avec passion, alors la nouvelle simulation de combat aérien de THQ devrait vous plaire... Mettez vos lunettes d'aviateur et préparez-vous à des missions riches en action !"
4737,F-22 Lightning 3,F-22 Lightning 3,PC,17/20,17.6/20,Novalogic,Septembre 1999,Simulation,Unknown,http://www.jeuxvideo.com/jeux/pc/00000371-f-22-lightning-3.htm," NovaLogic, avec ses séries comme Armored Fist, Comanche ou encore Delta Force, s'est imposé comme l'un des leaders des simulations militaires et aériennes en particulier. La série des F-22 Lightning vient de s'étoffer d'un nouvel épisode : F-22 Lightning 3."
4738,F-Sim Space Shuttle,F-SIM Space Shuttle,Android,15/20,13.5/20,Ledinsky Software,28 Janvier 2010,Simulation,Unknown,http://www.jeuxvideo.com/jeux/jeu-81273/,La Navette Spatiale a effectué son dernier atterrissage le 27 Mars 2008 en Floride mettant fin à 30 ans de loyaux services pour la nation. La rentrée atmosphérique et l'atterrissage était l'une des phases les plus critiques de la mission car l'engin passait de 25 fois à la vitesse du son à seulement 200 nœuds au moment du toucher sur une piste conventionnelle et le tout sans moteur et donc sans seconde chance ! F-Sim propose de vous faire vivre cette phase stressante de la mission en proposant un simulateur très réaliste de la défunte Navette Spatiale.
4739,F-Sim Space Shuttle,F-SIM Space Shuttle,iOS,15/20,--/20,Ledinsky Software,28 Janvier 2010,Simulation,Unknown,http://www.jeuxvideo.com/jeux/jeu-81273/,La Navette Spatiale a effectué son dernier atterrissage le 27 Mars 2008 en Floride mettant fin à 30 ans de loyaux services pour la nation. La rentrée atmosphérique et l'atterrissage était l'une des phases les plus critiques de la mission car l'engin passait de 25 fois à la vitesse du son à seulement 200 nœuds au moment du toucher sur une piste conventionnelle et le tout sans moteur et donc sans seconde chance ! F-Sim propose de vous faire vivre cette phase stressante de la mission en proposant un simulateur très réaliste de la défunte Navette Spatiale.
4740,F-Zero,F-Zero,SNES,17/20,17.2/20,Nintendo,04 Juin 1992,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-65529/," Accompagnant l'entrée de la Super Nintendo dans l'ère 16 bits, F-Zero fut pour beaucoup le premier jeu de courses apportant une réelle impression de vitesse grâce à l'utilisation du mode 7 qu'il inaugura. Dix-sept ans après sa parution en Europe et en attendant un éventuel opus Wii ou DS, revenons sur ce mythe du monde des jeux vidéo, premier-né d'une saga aujourd'hui chère à Big N."
4741,F-Zero,F-Zero,Wii,17/20,--/20,Nintendo,04 Juin 1992,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-65529/," Accompagnant l'entrée de la Super Nintendo dans l'ère 16 bits, F-Zero fut pour beaucoup le premier jeu de courses apportant une réelle impression de vitesse grâce à l'utilisation du mode 7 qu'il inaugura. Dix-sept ans après sa parution en Europe et en attendant un éventuel opus Wii ou DS, revenons sur ce mythe du monde des jeux vidéo, premier-né d'une saga aujourd'hui chère à Big N."
4742,F-Zero : GP Legend,F-Zero: GP Legend,GBA,17/20,17.8/20,Nintendo,04 Juin 2004,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-62261/," Si, tout comme moi, les vrais jeux de courses se résument pour vous à Burnout et F-Zero, la sortie du second épisode du titre de Nintendo sur GBA fait certainement office d'événement que vous guettez sans doute depuis de nombreux mois. Retrouver sur une console portable le parfait mélange entre les différentes versions de F-Zero sorties sur consoles à ce jour est désormais une réalité, et il ne tient qu'à vous de vous lancer dans la course la plus dangereuse, la plus stressante et la plus ébouriffante qui soit sur ce support."
4743,F-Zero : Maximum Velocity,F-Zero: Maximum Velocity,GBA,16/20,15.7/20,Nintendo,22 Juin 2001,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-58540/," L'un des plus gros hits de la Super Nintendo revient sur le devant de la scène, dans une version GBA complètement inédite, spécialement conçue pour tirer parti au mieux des capacités de la nouvelle petite 32 bits de Nintendo. Une cartouche explosive, indispensable pour tout possesseur de Game Boy Advance."
4744,F-Zero GX,F-Zero GX,NGC,18/20,17.9/20,Nintendo Sega,31 Octobre 2003,Course,+3 ans,http://www.jeuxvideo.com/jeux/gamecube-ngc/00009352-f-zero-gx.htm," Si F-Zero GX reprend quasiment tout ce qui a fait le succès de l'épisode Nintendo 64 (n'en déplaise aux amateurs de l'excellente version Super Nintendo), il se pare en revanche d'une toute nouvelle robe on ne peut plus classieuse. Ce nouvel épisode de la fameuse série de courses futuristes, tout droit sorti des usines de Sega, ne se contente pas d'être beau (et c'est peu de le dire) mais propose en plus aux joueurs une maniabilité simple, efficace et terriblement jouissive."
4745,F-Zero X,F-Zero X,Wii,16/20,18/20,Nintendo,Novembre 1998,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-56352/," C'est dans les vieux pots qu'on fait la meilleure soupe ! Nintendo a fait sien cet adage. Après Mario et avant Zelda (décembre 98), c'est F-Zero, le hit de la SuperNES, qui est adapté sur la N64."
4746,F-Zero X,F-Zero X,N64,16/20,18/20,Nintendo,Novembre 1998,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-56352/," C'est dans les vieux pots qu'on fait la meilleure soupe ! Nintendo a fait sien cet adage. Après Mario et avant Zelda (décembre 98), c'est F-Zero, le hit de la SuperNES, qui est adapté sur la N64."
4747,F.3.A.R.,F.3.A.R.,PS3,15/20,14.5/20,Warner Interactive Day 1 Studio,24 Juin 2011,FPS,+18 ans,http://www.jeuxvideo.com/jeux/jeu-73906/," Le Mal est immortel et revient quand on s'y attend le moins. Alma, elle, mettait déjà les pendules à l'heure en 2006 en affichant sa volonté de réduire le monde à l'état de cendres. Cinq ans plus tard, la turbulente fillette n'a pas lâché un pouce de terrain et se montre même plus véhémente que jamais. L'ambiance devient dès lors apocalyptique tout en étant synonyme de troisième épisode plus énergique. Pour autant, John Carpenter est là pour assurer une certaine respectabilité au scénario mais le résultat est-il finalement à la hauteur ? Les lignes ci-dessous vous livrent quelques clés pour vous permettre d'y voir plus clair."
